[epoch 1]  train_accuracy:0.5824410617930735  val_accuracy:0.6933558830635419  recall:0.5411279169168879  f1:0.5271643507074519
[epoch 2]  train_accuracy:0.6990862012771454  val_accuracy:0.7240879439478135  recall:0.5930823516578335  f1:0.5873511990838696
[epoch 3]  train_accuracy:0.7402493934163035  val_accuracy:0.7703309978255617  recall:0.6312747636413213  f1:0.6325985823819468
[epoch 4]  train_accuracy:0.7752079284412308  val_accuracy:0.7989852621406137  recall:0.6710500051743773  f1:0.6808491169514393
[epoch 5]  train_accuracy:0.798131360075325  val_accuracy:0.8071514858661513  recall:0.6761869728958416  f1:0.6828924583671059
[epoch 6]  train_accuracy:0.8134136478313878  val_accuracy:0.8311669485382943  recall:0.7202586105125893  f1:0.738199584797832
[epoch 7]  train_accuracy:0.8286235076833934  val_accuracy:0.8343561246677942  recall:0.7021100814307043  f1:0.7117199404901949
[epoch 8]  train_accuracy:0.8386427010779687  val_accuracy:0.8623822179270355  recall:0.7371433435711834  f1:0.7475899711276637
[epoch 9]  train_accuracy:0.849337888243744  val_accuracy:0.8475477168398163  recall:0.7168094936497132  f1:0.7154892196913802
[epoch 10]  train_accuracy:0.8588742289446047  val_accuracy:0.8607393090118386  recall:0.7181656617368383  f1:0.7194941208921225
[epoch 11]  train_accuracy:0.8688572083871513  val_accuracy:0.8775066441169365  recall:0.7604528831574883  f1:0.7765157780889121
[epoch 12]  train_accuracy:0.87315459736121  val_accuracy:0.8823387291616333  recall:0.7756709696628766  f1:0.7941618690812859
[epoch 13]  train_accuracy:0.8786711893868978  val_accuracy:0.885721188692921  recall:0.7553125342115387  f1:0.7595726671457269
[epoch 14]  train_accuracy:0.8798783211211839  val_accuracy:0.8945155834742692  recall:0.7793746502220136  f1:0.7897317917285416
[epoch 15]  train_accuracy:0.8918892818773313  val_accuracy:0.8757187726503987  recall:0.7511424665850516  f1:0.7496610307901258
[epoch 16]  train_accuracy:0.8861071208701006  val_accuracy:0.8968833051461705  recall:0.7861414018991574  f1:0.7957471121249178
[epoch 17]  train_accuracy:0.894098332951075  val_accuracy:0.8915680115970042  recall:0.7648195666689211  f1:0.773962948668367
[epoch 18]  train_accuracy:0.8984077932424765  val_accuracy:0.891664653297898  recall:0.7875001400710047  f1:0.8040322857892533
[epoch 19]  train_accuracy:0.8983595079731052  val_accuracy:0.9018120318917613  recall:0.7987511595744232  f1:0.8167628482553797
[epoch 20]  train_accuracy:0.9021740442534494  val_accuracy:0.9076588547958444  recall:0.7959760156278121  f1:0.8169793932167664
[epoch 21]  train_accuracy:0.9028258953899639  val_accuracy:0.9018603527422082  recall:0.8058417340664662  f1:0.8227880923031377
[epoch 22]  train_accuracy:0.9035622457478785  val_accuracy:0.9161150036240637  recall:0.7983026162005099  f1:0.804147964739069
[epoch 23]  train_accuracy:0.9067611448437368  val_accuracy:0.9087702343561247  recall:0.7778616667153263  f1:0.7842753392492509
[epoch 24]  train_accuracy:0.9087287695706232  val_accuracy:0.9168881372312153  recall:0.7967379952718331  f1:0.7962864489412141
[epoch 25]  train_accuracy:0.9139194360280537  val_accuracy:0.9107030683740034  recall:0.8016715923136756  f1:0.8047459107895346
