[epoch 1]  train_accuracy:0.44289663330959306  val_accuracy:0.6199565112345977  recall:0.36750548692427754  f1:0.33672838076127565
[epoch 2]  train_accuracy:0.6580799362634444  val_accuracy:0.6936458081662237  recall:0.5162966068841287  f1:0.4950030282073105
[epoch 3]  train_accuracy:0.7075481947344914  val_accuracy:0.738390915680116  recall:0.5845736274832666  f1:0.5854407410865758
[epoch 4]  train_accuracy:0.7387163361137601  val_accuracy:0.7651606668277362  recall:0.6232311144605636  f1:0.6174061091615665
[epoch 5]  train_accuracy:0.7690998418657428  val_accuracy:0.793863251993235  recall:0.6483186733508138  f1:0.6541571294421153
[epoch 6]  train_accuracy:0.7915524921234655  val_accuracy:0.7914472094708866  recall:0.6465517026802644  f1:0.6521619574283564
[epoch 7]  train_accuracy:0.8122910153185017  val_accuracy:0.824160425223484  recall:0.6929676892933262  f1:0.703193762176313
[epoch 8]  train_accuracy:0.8334278919858524  val_accuracy:0.8401546267214303  recall:0.708525858724277  f1:0.7118638217439713
[epoch 9]  train_accuracy:0.8475875472290291  val_accuracy:0.8623822179270355  recall:0.7332673486478796  f1:0.731933598127084
[epoch 10]  train_accuracy:0.8630750473799206  val_accuracy:0.8487074172505437  recall:0.6897853780170204  f1:0.7048209798179536
[epoch 11]  train_accuracy:0.8785746188481549  val_accuracy:0.8765885479584441  recall:0.7562312504932669  f1:0.7700518229002364
[epoch 12]  train_accuracy:0.8865416882944436  val_accuracy:0.8791495530321334  recall:0.751392372396458  f1:0.7507412656520637
[epoch 13]  train_accuracy:0.8915392136743883  val_accuracy:0.8754771683981638  recall:0.7254051493160403  f1:0.7393167324849262
[epoch 14]  train_accuracy:0.9009789838365061  val_accuracy:0.9048562454699203  recall:0.7901301450503254  f1:0.7981326162713992
[epoch 15]  train_accuracy:0.9087649835226518  val_accuracy:0.9058709833293066  recall:0.7828903605283349  f1:0.7845890826348142
[epoch 16]  train_accuracy:0.9101893989691096  val_accuracy:0.9050978497221551  recall:0.7885569222933541  f1:0.7896363618813693
[epoch 17]  train_accuracy:0.9217657923009138  val_accuracy:0.9081420633003141  recall:0.8016197213628009  f1:0.8167121994500784
[epoch 18]  train_accuracy:0.9214519380499994  val_accuracy:0.9162599661754047  recall:0.7933392998494706  f1:0.7984002049298697
[epoch 19]  train_accuracy:0.9242404123562005  val_accuracy:0.9151485866151244  recall:0.8234579647836526  f1:0.8417206230392386
[epoch 20]  train_accuracy:0.931169348511003  val_accuracy:0.9237980188451317  recall:0.8005573717863514  f1:0.8095576895210098
[epoch 21]  train_accuracy:0.927511739356116  val_accuracy:0.9286301038898285  recall:0.8409302377447047  f1:0.8577021167029296
[epoch 22]  train_accuracy:0.9314711314445745  val_accuracy:0.9340903599903359  recall:0.8345338885447917  f1:0.8490313808576815
[epoch 23]  train_accuracy:0.9346700305404329  val_accuracy:0.9337037931867601  recall:0.8339104965690228  f1:0.8490022308362332
[epoch 24]  train_accuracy:0.9363117296990621  val_accuracy:0.9349601352983813  recall:0.8242961333974854  f1:0.8356647602657733
[epoch 25]  train_accuracy:0.9371325792783767  val_accuracy:0.9186276878473061  recall:0.8270865855366555  f1:0.8448569271325366
[epoch 26]  train_accuracy:0.9385328520901486  val_accuracy:0.927953611983571  recall:0.8133889506813433  f1:0.8235876249473024
[epoch 27]  train_accuracy:0.9422628891490928  val_accuracy:0.9200773133607152  recall:0.8273990904300335  f1:0.8471771078669761
[epoch 28]  train_accuracy:0.9391484892746346  val_accuracy:0.9411452041555931  recall:0.8424405363878589  f1:0.858847203434144
[epoch 29]  train_accuracy:0.9419731775328641  val_accuracy:0.9229282435370862  recall:0.837388481721712  f1:0.8410646357594016
[epoch 30]  train_accuracy:0.9435424487874362  val_accuracy:0.9372795361198357  recall:0.8386183931236709  f1:0.852042011794567
[epoch 31]  train_accuracy:0.9461257106988086  val_accuracy:0.9392123701377144  recall:0.8512206540655277  f1:0.8619787853280926
[epoch 32]  train_accuracy:0.9220555039171425  val_accuracy:0.9434162841266006  recall:0.840530459804982  f1:0.8611537529308737
[epoch 33]  train_accuracy:0.9493608237466955  val_accuracy:0.9312877506644117  recall:0.8231498584756985  f1:0.8422804180123931
[epoch 34]  train_accuracy:0.9412126845402639  val_accuracy:0.9316743174679875  recall:0.832770128236336  f1:0.8524497808867304
[epoch 35]  train_accuracy:0.946524064171123  val_accuracy:0.9478618023677217  recall:0.8508921929347779  f1:0.8626502043492648
[epoch 36]  train_accuracy:0.9488658997356382  val_accuracy:0.9422082628654265  recall:0.8327562287499994  f1:0.8444586931204533
[epoch 37]  train_accuracy:0.9425405294479786  val_accuracy:0.9481034066199565  recall:0.8331305375155702  f1:0.8460302795172278
[epoch 38]  train_accuracy:0.9510508081746961  val_accuracy:0.9386808407827978  recall:0.847123735974659  f1:0.8515811385071167
[epoch 39]  train_accuracy:0.952366581765068  val_accuracy:0.9467021019569944  recall:0.8538545964840318  f1:0.8717466739143621
[epoch 40]  train_accuracy:0.9508335244625246  val_accuracy:0.9417733752114037  recall:0.8421105904888305  f1:0.8598236913504829
