[epoch 1]  train_accuracy:0.6283482816479763  val_accuracy:0.718772650398647  recall:0.5858638283484259  f1:0.581068704770888
[epoch 2]  train_accuracy:0.7525379944713366  val_accuracy:0.797100748973182  recall:0.6737995318915987  f1:0.6744839669994471
[epoch 3]  train_accuracy:0.8180128197390181  val_accuracy:0.8356607876298623  recall:0.722024412976634  f1:0.7417659017948508
[epoch 4]  train_accuracy:0.862338697022006  val_accuracy:0.8834984295723605  recall:0.7647344566242433  f1:0.7709130078235412
[epoch 5]  train_accuracy:0.8979128692314192  val_accuracy:0.9052911331239429  recall:0.8142662822062638  f1:0.828588844413422
[epoch 6]  train_accuracy:0.9195325985924844  val_accuracy:0.9239429813964726  recall:0.8225184502811852  f1:0.8279337991577259
[epoch 7]  train_accuracy:0.9324609794666892  val_accuracy:0.9240396230973665  recall:0.8286404049305137  f1:0.8335266428158922
[epoch 8]  train_accuracy:0.9423111744184642  val_accuracy:0.9266489490215027  recall:0.8449772358750635  f1:0.8471174169345023
[epoch 9]  train_accuracy:0.9490952547651526  val_accuracy:0.9451558347426915  recall:0.8517307822646827  f1:0.8599045095372517
[epoch 10]  train_accuracy:0.9546239181081831  val_accuracy:0.9411452041555931  recall:0.8544293065750378  f1:0.8684938583391952
[epoch 11]  train_accuracy:0.9588971644475561  val_accuracy:0.9538535878231457  recall:0.8728608743710563  f1:0.889011608417312
[epoch 12]  train_accuracy:0.9618908511485859  val_accuracy:0.953515341870017  recall:0.8703242130546166  f1:0.8804968179801682
[epoch 13]  train_accuracy:0.9654639610820729  val_accuracy:0.954868325682532  recall:0.8789537081638495  f1:0.8829233074260777
[epoch 14]  train_accuracy:0.9688318586207313  val_accuracy:0.9523556414592896  recall:0.8737674256716004  f1:0.8832062444508026
[epoch 15]  train_accuracy:0.970594270952789  val_accuracy:0.9557864218410244  recall:0.8636078581096718  f1:0.8701726727474949
[epoch 16]  train_accuracy:0.9730809623254185  val_accuracy:0.9546267214302971  recall:0.8791263751126808  f1:0.883680035260625
[epoch 17]  train_accuracy:0.9750968723216764  val_accuracy:0.9598453732785697  recall:0.8812365720290652  f1:0.8793320640756005
[epoch 18]  train_accuracy:0.9763885032773627  val_accuracy:0.9601352983812516  recall:0.8861507639164228  f1:0.8945397867995637
[epoch 19]  train_accuracy:0.9795994736905639  val_accuracy:0.9629379077071757  recall:0.8850491915133509  f1:0.888894218348187
[epoch 20]  train_accuracy:0.9794546178824495  val_accuracy:0.9602802609325924  recall:0.8809165094609608  f1:0.8881051167231198
[epoch 21]  train_accuracy:0.9811687449451358  val_accuracy:0.9541918337762745  recall:0.8679682869561753  f1:0.875560778952773
[epoch 22]  train_accuracy:0.9823275914100505  val_accuracy:0.963904324716115  recall:0.8901785193022316  f1:0.8959006774133526
[epoch 23]  train_accuracy:0.9841382890114798  val_accuracy:0.9586373520173955  recall:0.8821956982235162  f1:0.887138240214116
[epoch 24]  train_accuracy:0.9838485773952511  val_accuracy:0.9589272771200773  recall:0.8823496770889041  f1:0.8858931423293551
[epoch 25]  train_accuracy:0.9853937060151374  val_accuracy:0.9667069340420391  recall:0.8785104341657923  f1:0.8841770978744177
[epoch 26]  train_accuracy:0.9857437742180805  val_accuracy:0.9596037690263348  recall:0.8854710782082209  f1:0.8912273512838977
[epoch 27]  train_accuracy:0.985164350985623  val_accuracy:0.9621164532495772  recall:0.88366681057657  f1:0.8940546966315941
[epoch 28]  train_accuracy:0.9856351323619946  val_accuracy:0.9634211162116453  recall:0.8905412705631442  f1:0.8960355797563203
[epoch 29]  train_accuracy:0.987349259424681  val_accuracy:0.9599903358299106  recall:0.8842207334693257  f1:0.8869708215646903
[epoch 30]  train_accuracy:0.9873734020593667  val_accuracy:0.9617298864460014  recall:0.888763821480485  f1:0.886262133242239
[epoch 31]  train_accuracy:0.9869509059523666  val_accuracy:0.9573810099057743  recall:0.8813090669293169  f1:0.8771690094289702
[epoch 32]  train_accuracy:0.9878079694837097  val_accuracy:0.9676250302005315  recall:0.8931254936353853  f1:0.8876135189136131
[epoch 33]  train_accuracy:0.9872285462512524  val_accuracy:0.9635660787629863  recall:0.8850149248176579  f1:0.8886781938128331
[epoch 34]  train_accuracy:0.9880252531958813  val_accuracy:0.966900217443827  recall:0.8866421000727315  f1:0.8902112237577634
[epoch 35]  train_accuracy:0.9883753213988242  val_accuracy:0.9656921961826528  recall:0.8887271638859604  f1:0.8862833558994905
[epoch 36]  train_accuracy:0.9881942516386814  val_accuracy:0.9568011597004107  recall:0.8824741668137229  f1:0.886132962181861
[epoch 37]  train_accuracy:0.9887012469670815  val_accuracy:0.96095675283885  recall:0.8861728302011973  f1:0.8867405304862023
[epoch 38]  train_accuracy:0.9888581740925387  val_accuracy:0.9680115970041073  recall:0.8893074328995467  f1:0.8924964925605168
[epoch 39]  train_accuracy:0.990053234509482  val_accuracy:0.9692679391157284  recall:0.8904576638950705  f1:0.8943107749610386
