[epoch 1]  train_accuracy:0.6177858789729723  val_accuracy:0.7055810582266248  recall:0.582073060545084  f1:0.5619760577411699
[epoch 2]  train_accuracy:0.7415410243719898  val_accuracy:0.789466054602561  recall:0.6609827101822066  f1:0.6569237736566624
[epoch 3]  train_accuracy:0.8060622155695851  val_accuracy:0.8434887654022711  recall:0.7085434907399253  f1:0.717706413401882
[epoch 4]  train_accuracy:0.8461752030999143  val_accuracy:0.8757670935008456  recall:0.7429730779588992  f1:0.7526161291939134
[epoch 5]  train_accuracy:0.8774519863352688  val_accuracy:0.8976081179028751  recall:0.7971185360733353  f1:0.8112726785906984
[epoch 6]  train_accuracy:0.900725486172306  val_accuracy:0.9144720947088669  recall:0.8129310621425565  f1:0.8064381406577453
[epoch 7]  train_accuracy:0.9159836312936831  val_accuracy:0.9259724571152452  recall:0.8157055736369851  f1:0.8312150164408576
[epoch 8]  train_accuracy:0.9273548122306587  val_accuracy:0.924812756704518  recall:0.843779660398423  f1:0.860543282964637
[epoch 9]  train_accuracy:0.9360220180828334  val_accuracy:0.9389707658854796  recall:0.8472675717369557  f1:0.8559536607296981
[epoch 10]  train_accuracy:0.9419369635808356  val_accuracy:0.9445759845373278  recall:0.8562342901522185  f1:0.8677251906005895
[epoch 11]  train_accuracy:0.9486969012928381  val_accuracy:0.9460739309011839  recall:0.8606816165494346  f1:0.8671006336583962
[epoch 12]  train_accuracy:0.9521010127835251  val_accuracy:0.950326165740517  recall:0.8750073574474492  f1:0.8749631599081913
[epoch 13]  train_accuracy:0.9539962096063543  val_accuracy:0.942884754771684  recall:0.862076479851046  f1:0.8668289574429932
[epoch 14]  train_accuracy:0.9585833101966418  val_accuracy:0.9559797052428123  recall:0.8821308450387574  f1:0.8848083316110202
[epoch 15]  train_accuracy:0.9606112915102425  val_accuracy:0.9530804542159942  recall:0.8707948686009348  f1:0.8725116324137321
[epoch 16]  train_accuracy:0.9634118371337864  val_accuracy:0.9544817588789563  recall:0.8657138509540606  f1:0.869950282195249
[epoch 17]  train_accuracy:0.9658864571890731  val_accuracy:0.9583957477651607  recall:0.8781047613156013  f1:0.8807513695790752
[epoch 18]  train_accuracy:0.9680472229934453  val_accuracy:0.9552548924861077  recall:0.8762695407063464  f1:0.8787265531262065
[epoch 19]  train_accuracy:0.9690370710155599  val_accuracy:0.9597004107272288  recall:0.881070481171925  f1:0.8880567891580495
[epoch 20]  train_accuracy:0.9718376166391038  val_accuracy:0.9559313843923654  recall:0.8690426075264008  f1:0.8676848612959688
[epoch 21]  train_accuracy:0.9730085344213614  val_accuracy:0.9649673834259483  recall:0.8848953101682148  f1:0.879861513546781
[epoch 22]  train_accuracy:0.9737810987313046  val_accuracy:0.9580575018120319  recall:0.8740652535170687  f1:0.8788980563642363
[epoch 23]  train_accuracy:0.9743363793290761  val_accuracy:0.9603769026334863  recall:0.8827216702705692  f1:0.8903700776003142
[epoch 24]  train_accuracy:0.9763281466906484  val_accuracy:0.9632278328098575  recall:0.8773473162729134  f1:0.8757741080963748
[epoch 25]  train_accuracy:0.9767144288456199  val_accuracy:0.9633727953611984  recall:0.8940909203398674  f1:0.8900717734150512
[epoch 26]  train_accuracy:0.9790321217754494  val_accuracy:0.9641459289683498  recall:0.8926614601441248  f1:0.8935715353505383
[epoch 27]  train_accuracy:0.9796598302772782  val_accuracy:0.9659338004348876  recall:0.8910187376998648  f1:0.8891085321307649
[epoch 28]  train_accuracy:0.9792131915355923  val_accuracy:0.9629862285576226  recall:0.8888105273278558  f1:0.8935920356307072
[epoch 29]  train_accuracy:0.9809031759635929  val_accuracy:0.9627446243053878  recall:0.8848352783501466  f1:0.8865351109451792
[epoch 30]  train_accuracy:0.9803237527311356  val_accuracy:0.9615849238946605  recall:0.8913686089309916  f1:0.8868749005604263
[epoch 31]  train_accuracy:0.9807100348861071  val_accuracy:0.9626479826044938  recall:0.8973324578348241  f1:0.8913433215090016
[epoch 32]  train_accuracy:0.982025808476479  val_accuracy:0.9642908915196907  recall:0.8805494413745213  f1:0.8848256155911932
[epoch 33]  train_accuracy:0.9819050953030504  val_accuracy:0.9645324957719256  recall:0.8906599436740941  f1:0.8873451111225713
[epoch 34]  train_accuracy:0.9826535169783078  val_accuracy:0.9667552548924861  recall:0.8904204591827078  f1:0.8953527381041765
[epoch 35]  train_accuracy:0.9824483045834792  val_accuracy:0.9635177579125392  recall:0.8924424850871316  f1:0.891579397827367
[epoch 36]  train_accuracy:0.9831122270373366  val_accuracy:0.9660787629862285  recall:0.8901040785207672  f1:0.8871411990410257
[epoch 37]  train_accuracy:0.9834985091923082  val_accuracy:0.9688330514617057  recall:0.8927978568232351  f1:0.8937348759579052
[epoch 38]  train_accuracy:0.9840175758380512  val_accuracy:0.9632761536603044  recall:0.8845368445166061  f1:0.8854255952276511
[epoch 39]  train_accuracy:0.9842590021849085  val_accuracy:0.9630345494080695  recall:0.8861178058728705  f1:0.8937038863610373
[epoch 40]  train_accuracy:0.9851764223029659  val_accuracy:0.9686880889103648  recall:0.8945525531616624  f1:0.8971955777570628
[epoch 41]  train_accuracy:0.9850074238601658  val_accuracy:0.9679632761536603  recall:0.9038321028579239  f1:0.8988911627996564
[epoch 42]  train_accuracy:0.9847539261959658  val_accuracy:0.9676733510509785  recall:0.8987574090146706  f1:0.8965311196411258
[epoch 43]  train_accuracy:0.9846694269745657  val_accuracy:0.9661754046871225  recall:0.8944424647648527  f1:0.8959284694930084
[epoch 44]  train_accuracy:0.9856713463140232  val_accuracy:0.9681565595554482  recall:0.8924783648495913  f1:0.898331175408671
[epoch 45]  train_accuracy:0.9856351323619946  val_accuracy:0.9677216719014254  recall:0.8947952545019321  f1:0.8971120590621191
[epoch 46]  train_accuracy:0.9855264905059089  val_accuracy:0.9680115970041073  recall:0.8963958224794922  f1:0.8997392199136188
[epoch 47]  train_accuracy:0.9862386982291378  val_accuracy:0.9693162599661754  recall:0.8971703522100053  f1:0.8961566204654541
[epoch 48]  train_accuracy:0.9859369152955662  val_accuracy:0.96844648465813  recall:0.8940387392472653  f1:0.8974575295150062
[epoch 49]  train_accuracy:0.9863594114025663  val_accuracy:0.9685914472094709  recall:0.896716676037085  f1:0.8964179203910738
[epoch 50]  train_accuracy:0.9866853369708236  val_accuracy:0.96844648465813  recall:0.8993507468894896  f1:0.8996247786010516
[epoch 51]  train_accuracy:0.9860576284689948  val_accuracy:0.9679632761536603  recall:0.898264231245671  f1:0.8974199529395082
[epoch 52]  train_accuracy:0.9876027570888811  val_accuracy:0.9694612225175163  recall:0.8920559421864798  f1:0.8900311289779502
[epoch 53]  train_accuracy:0.9869991912217381  val_accuracy:0.9672384633969557  recall:0.8948919676801808  f1:0.893324877922918
[epoch 54]  train_accuracy:0.9872889028379667  val_accuracy:0.9716839816380768  recall:0.9001974533988134  f1:0.9022168861217758
[epoch 55]  train_accuracy:0.987699327627624  val_accuracy:0.9681565595554482  recall:0.90223946692824  f1:0.9012307942959327
[epoch 56]  train_accuracy:0.9881218237346242  val_accuracy:0.968543126359024  recall:0.8929181040756811  f1:0.8899563569366701
[epoch 57]  train_accuracy:0.9876148284062239  val_accuracy:0.968349842957236  recall:0.8950855059974555  f1:0.8943682228885962
[epoch 58]  train_accuracy:0.9875665431368525  val_accuracy:0.9681565595554482  recall:0.9024992339048146  f1:0.8984321485131798
[epoch 59]  train_accuracy:0.9882908221774243  val_accuracy:0.9708142063300315  recall:0.9016767051635501  f1:0.904618335430382
[epoch 60]  train_accuracy:0.9881701090039956  val_accuracy:0.9709108480309253  recall:0.9011646834753947  f1:0.8983111784430206
[epoch 61]  train_accuracy:0.9875665431368525  val_accuracy:0.9683015221067891  recall:0.8927908828436452  f1:0.8913981821414455
[epoch 62]  train_accuracy:0.9884598206202243  val_accuracy:0.9693162599661754  recall:0.9015835011140163  f1:0.9031480475381927
[epoch 63]  train_accuracy:0.9889064593619101  val_accuracy:0.9690263348634935  recall:0.894242353784973  f1:0.8957995330897778
[epoch 64]  train_accuracy:0.9884718919375671  val_accuracy:0.9733268905532737  recall:0.8994493357266501  f1:0.8980321927243642
[epoch 65]  train_accuracy:0.989003029900653  val_accuracy:0.9700893935733269  recall:0.8980674916157446  f1:0.8978768579058274
[epoch 66]  train_accuracy:0.9888098888231672  val_accuracy:0.9691229765643875  recall:0.899000605776631  f1:0.9019211185790142
[epoch 67]  train_accuracy:0.9888581740925387  val_accuracy:0.9710074897318193  recall:0.8985486071187988  f1:0.9025352706484489
[epoch 68]  train_accuracy:0.9889064593619101  val_accuracy:0.969992751872433  recall:0.8937538784992768  f1:0.8940421582735995
[epoch 69]  train_accuracy:0.9892082422954817  val_accuracy:0.9709591688813723  recall:0.9002259333120576  f1:0.9000733881984717
[epoch 70]  train_accuracy:0.9886046764283386  val_accuracy:0.9693645808166224  recall:0.899192689666629  f1:0.9033417702768267
[epoch 71]  train_accuracy:0.9888098888231672  val_accuracy:0.9684948055085769  recall:0.8906271216401274  f1:0.8944134521008532
[epoch 72]  train_accuracy:0.9895220965463961  val_accuracy:0.9693645808166224  recall:0.8923779354693953  f1:0.8949876053453152
[epoch 73]  train_accuracy:0.989437597324996  val_accuracy:0.9673834259482967  recall:0.8906292029322719  f1:0.8916477929647459
[epoch 74]  train_accuracy:0.989703166306539  val_accuracy:0.969944431021986  recall:0.8967885649099232  f1:0.894884606401877
[epoch 75]  train_accuracy:0.9892806701995389  val_accuracy:0.9705726020777966  recall:0.894723155996598  f1:0.9011761604700875
[epoch 76]  train_accuracy:0.9897876655279391  val_accuracy:0.9700893935733269  recall:0.9015282502799915  f1:0.9019236775813421
[epoch 77]  train_accuracy:0.9893410267862531  val_accuracy:0.9716356607876299  recall:0.9055206134108043  f1:0.9071862131666559
[epoch 78]  train_accuracy:0.9895462391810819  val_accuracy:0.9694612225175163  recall:0.9008393557275913  f1:0.9005088961178341
[epoch 79]  train_accuracy:0.9897393802585677  val_accuracy:0.9719739067407587  recall:0.9076148829290892  f1:0.9088409451919183
[epoch 80]  train_accuracy:0.9897393802585677  val_accuracy:0.9702343561246678  recall:0.9025497579930357  f1:0.9052964304889879
[epoch 81]  train_accuracy:0.9898480221146534  val_accuracy:0.9706692437786905  recall:0.9009577557452367  f1:0.8979063496462372
[epoch 82]  train_accuracy:0.9900653058268248  val_accuracy:0.9711041314327132  recall:0.902783685954357  f1:0.9070754908434779
[epoch 83]  train_accuracy:0.9894858825943675  val_accuracy:0.9725054360956753  recall:0.9077638909066388  f1:0.9086206634133567
[epoch 84]  train_accuracy:0.9903670887603965  val_accuracy:0.9690746557139406  recall:0.8998877675732101  f1:0.9012588365409624
[epoch 85]  train_accuracy:0.9899687352880819  val_accuracy:0.9696061850688572  recall:0.8976703754527714  f1:0.8980344421493484
[epoch 86]  train_accuracy:0.9904636592991393  val_accuracy:0.9695578642184103  recall:0.8992603345665855  f1:0.9086685352587763
[epoch 87]  train_accuracy:0.9905360872031965  val_accuracy:0.9738584199081903  recall:0.8953148209574094  f1:0.9023747458816518
[epoch 88]  train_accuracy:0.9906447290592822  val_accuracy:0.9691712974148345  recall:0.8935143869968984  f1:0.8933181899384617
