[epoch 1]  train_accuracy:0.5635011648821235  val_accuracy:0.6920028992510269  recall:0.5656125581060268  f1:0.5325125934681281
[epoch 2]  train_accuracy:0.7163481850774375  val_accuracy:0.742884754771684  recall:0.6266635715009885  f1:0.6174048242841614
[epoch 3]  train_accuracy:0.7496529496263927  val_accuracy:0.7600869775308046  recall:0.6382113729167666  f1:0.6346060599761006
[epoch 4]  train_accuracy:0.7712726789874579  val_accuracy:0.7701377144237739  recall:0.6743475454838997  f1:0.6671108424283673
[epoch 5]  train_accuracy:0.7922526285293514  val_accuracy:0.811935250060401  recall:0.7064823013428393  f1:0.7093159065562109
[epoch 6]  train_accuracy:0.8126772974734733  val_accuracy:0.8258999758395748  recall:0.7052439764025433  f1:0.7213952769132311
[epoch 7]  train_accuracy:0.8260161031373354  val_accuracy:0.8365788837883547  recall:0.7267419306887651  f1:0.734429644965633
[epoch 8]  train_accuracy:0.8412138916719981  val_accuracy:0.8434404445518241  recall:0.7315293754163076  f1:0.7191700235774542
[epoch 9]  train_accuracy:0.8388358421554544  val_accuracy:0.8249335588306355  recall:0.7140697487836333  f1:0.7182694876365051
[epoch 10]  train_accuracy:0.8542147004502602  val_accuracy:0.8311669485382943  recall:0.7275105588248346  f1:0.7258821622327899
[epoch 11]  train_accuracy:0.8533455656015742  val_accuracy:0.8716598212128533  recall:0.7575973835759954  f1:0.757991069075985
[epoch 12]  train_accuracy:0.8656462379739501  val_accuracy:0.8709833293065958  recall:0.7695373178162671  f1:0.7746785501620833
[epoch 13]  train_accuracy:0.864523605461064  val_accuracy:0.8848997342353225  recall:0.7769560513230808  f1:0.7758214035003647
[epoch 14]  train_accuracy:0.8709817602394949  val_accuracy:0.8808891036482243  recall:0.7659464180917186  f1:0.7701375155499183
[epoch 15]  train_accuracy:0.8713921850291523  val_accuracy:0.8763952645566562  recall:0.7588886108516427  f1:0.760558239395842
[epoch 16]  train_accuracy:0.8687606378484084  val_accuracy:0.8910364822420874  recall:0.7729806721266392  f1:0.7675929858942281
[epoch 17]  train_accuracy:0.8806508854311271  val_accuracy:0.8662962068132399  recall:0.7868184438914332  f1:0.791017328108794
[epoch 18]  train_accuracy:0.8696177013797516  val_accuracy:0.8672626238221792  recall:0.7825038241295794  f1:0.7852880688639974
[epoch 19]  train_accuracy:0.8852741999734431  val_accuracy:0.8905049528871708  recall:0.7779852171575994  f1:0.7876305574738269
[epoch 20]  train_accuracy:0.8815924481838703  val_accuracy:0.876733510509785  recall:0.7862252918123587  f1:0.7889073113958069
[epoch 21]  train_accuracy:0.8819425163868133  val_accuracy:0.8831601836192317  recall:0.7838853436152324  f1:0.7818811278976117
[epoch 22]  train_accuracy:0.885286271290786  val_accuracy:0.888620439719739  recall:0.7960039380219964  f1:0.7873932231423075
[epoch 23]  train_accuracy:0.8842239953646142  val_accuracy:0.8734960135298381  recall:0.7779564724829553  f1:0.778672111886562
[epoch 24]  train_accuracy:0.8874832510471867  val_accuracy:0.8755738100990578  recall:0.7902033397618816  f1:0.7716509444268277
[epoch 25]  train_accuracy:0.8843326372206999  val_accuracy:0.8972698719497463  recall:0.7927091565982723  f1:0.8058314405763684
[epoch 26]  train_accuracy:0.8781521227411547  val_accuracy:0.8899734235322542  recall:0.7842965168845375  f1:0.7852969860678399
[epoch 27]  train_accuracy:0.8936758368440748  val_accuracy:0.9000724812756704  recall:0.8168799239586177  f1:0.8218287088631173
[epoch 28]  train_accuracy:0.8677707898262937  val_accuracy:0.8982362889586857  recall:0.8110372816912238  f1:0.8061234815789791
[epoch 29]  train_accuracy:0.8916116415784454  val_accuracy:0.8952403962309736  recall:0.7990592733349327  f1:0.8074792702930608
[epoch 30]  train_accuracy:0.879697251361041  val_accuracy:0.8485624546992027  recall:0.7148924996958096  f1:0.7193778500937602
[epoch 31]  train_accuracy:0.8734805229294673  val_accuracy:0.8848030925344286  recall:0.774428328625775  f1:0.7698964847153796
[epoch 32]  train_accuracy:0.878912615733755  val_accuracy:0.9030683740033825  recall:0.820380650820657  f1:0.8238992154294994
[epoch 33]  train_accuracy:0.8769449910068686  val_accuracy:0.8783280985745349  recall:0.7757935791664365  f1:0.7908952171134883
[epoch 34]  train_accuracy:0.8683019277893796  val_accuracy:0.8817588789562696  recall:0.7832760481581084  f1:0.7731968197078244
[epoch 35]  train_accuracy:0.8897164447556162  val_accuracy:0.8778448900700653  recall:0.7500048701654729  f1:0.7480311280781154
[epoch 36]  train_accuracy:0.8626525512729204  val_accuracy:0.8862527180478377  recall:0.780453797217301  f1:0.781908764143727
[epoch 37]  train_accuracy:0.881882159800099  val_accuracy:0.8927760328581783  recall:0.7785407491527921  f1:0.7729800286917597
[epoch 38]  train_accuracy:0.8818218032133847  val_accuracy:0.8949504711282918  recall:0.787428346345295  f1:0.8034143490939875
[epoch 39]  train_accuracy:0.8867951859586437  val_accuracy:0.8865426431505194  recall:0.7621293175610605  f1:0.7569609405814742
[epoch 40]  train_accuracy:0.8716939679627238  val_accuracy:0.9024885237980188  recall:0.800567238815042  f1:0.813665033598813
