[epoch 1]  train_accuracy:0.8438002704590755  val_accuracy:0.9212971864385054  recall:0.8984375  f1:0.8988336730257732
[epoch 2]  train_accuracy:0.9184008306041748  val_accuracy:0.9388579119400116  recall:0.9238333333333333  f1:0.9264959470284543
[epoch 3]  train_accuracy:0.9281136440835475  val_accuracy:0.9414727936935204  recall:0.933  f1:0.933662311207779
[epoch 4]  train_accuracy:0.9324300940197782  val_accuracy:0.9454976607062744  recall:0.9435416666666667  f1:0.93638228112821
[epoch 5]  train_accuracy:0.9340291352359467  val_accuracy:0.943664679869256  recall:0.9400999999999999  f1:0.9348588630825285
[epoch 6]  train_accuracy:0.9347116919073774  val_accuracy:0.9475998205473306  recall:0.9472458333333333  f1:0.9454386354109019
[epoch 7]  train_accuracy:0.9345931257250162  val_accuracy:0.9479843619816702  recall:0.9426583333333334  f1:0.9460542403393413
[epoch 8]  train_accuracy:0.9354743608641872  val_accuracy:0.9479330897904249  recall:0.9442625  f1:0.9449349747733897
[epoch 9]  train_accuracy:0.935028936557479  val_accuracy:0.9376017432545023  recall:0.9325333333333333  f1:0.9361521944456858
[epoch 10]  train_accuracy:0.9374707590158365  val_accuracy:0.9503172466833302  recall:0.9482416666666668  f1:0.9491784507665647
[epoch 11]  train_accuracy:0.9354839743384328  val_accuracy:0.9472280971608024  recall:0.9237249999999999  f1:0.9244186490970989
[epoch 12]  train_accuracy:0.9368330652242183  val_accuracy:0.938716913414087  recall:0.9385833333333332  f1:0.940322247385651
[epoch 13]  train_accuracy:0.9350930263857823  val_accuracy:0.9403063513426905  recall:0.9401333333333334  f1:0.9393823395130383
[epoch 14]  train_accuracy:0.9367785888701604  val_accuracy:0.9449849387938217  recall:0.94635  f1:0.9449211331959603
[epoch 15]  train_accuracy:0.9329748575603566  val_accuracy:0.9413958854066525  recall:0.9180375  f1:0.9204039323040429
[epoch 16]  train_accuracy:0.9316738340457986  val_accuracy:0.9375248349676344  recall:0.9390750000000001  f1:0.9371068687453702
[epoch 17]  train_accuracy:0.9301292691836879  val_accuracy:0.9424726014228033  recall:0.9405916666666666  f1:0.9442794481094001
[epoch 18]  train_accuracy:0.9293762137011234  val_accuracy:0.9399987181952189  recall:0.9332166666666666  f1:0.9381626065357203
[epoch 19]  train_accuracy:0.9317988092109901  val_accuracy:0.9385630968403512  recall:0.9152750000000001  f1:0.9167670279997541
[epoch 20]  train_accuracy:0.921387416603111  val_accuracy:0.9320130744087676  recall:0.9088875  f1:0.9120663851184325
