[epoch 1]  train_accuracy:0.766844409123828  val_accuracy:0.8781388194577966  recall:0.85635  f1:0.8552799638357023
[epoch 2]  train_accuracy:0.9042530010062103  val_accuracy:0.9247965134909953  recall:0.9018499999999999  f1:0.9028566859895107
[epoch 3]  train_accuracy:0.9302254039261428  val_accuracy:0.941575338076011  recall:0.923175  f1:0.925670047823121
[epoch 4]  train_accuracy:0.943697085835507  val_accuracy:0.953534576683971  recall:0.9398  f1:0.9437145764071712
[epoch 5]  train_accuracy:0.9485903442264678  val_accuracy:0.954137024931103  recall:0.9370791666666667  f1:0.9402545877046166
[epoch 6]  train_accuracy:0.9519903096179605  val_accuracy:0.9359482150868422  recall:0.9325749999999999  f1:0.9274248580676986
[epoch 7]  train_accuracy:0.9545571072415097  val_accuracy:0.9577517144138947  recall:0.9571458333333333  f1:0.9573541608180898
[epoch 8]  train_accuracy:0.9557235421166307  val_accuracy:0.9592770621034417  recall:0.9569791666666667  f1:0.9576204672028614
[epoch 9]  train_accuracy:0.9570277701226039  val_accuracy:0.9571749022623854  recall:0.9433499999999999  f1:0.943686133539166
[epoch 10]  train_accuracy:0.9574507629894059  val_accuracy:0.952406588476575  recall:0.9519333333333334  f1:0.9475395366951942
[epoch 11]  train_accuracy:0.957316174349969  val_accuracy:0.9620457604306865  recall:0.938175  f1:0.9381654694154584
[epoch 12]  train_accuracy:0.9602995558574898  val_accuracy:0.9612894956098186  recall:0.96225  f1:0.9574519115452926
[epoch 13]  train_accuracy:0.96001435612154  val_accuracy:0.9653656348138179  recall:0.966225  f1:0.9634797986879235
[epoch 14]  train_accuracy:0.9598829719735181  val_accuracy:0.9628917515862334  recall:0.9390000000000001  f1:0.9389654608727461
[epoch 15]  train_accuracy:0.959956675276067  val_accuracy:0.9658911747740819  recall:0.9667375  f1:0.9657106690286426
[epoch 16]  train_accuracy:0.9608987957521262  val_accuracy:0.9658399025828366  recall:0.9517999999999999  f1:0.9552546048815644
[epoch 17]  train_accuracy:0.9618280982625248  val_accuracy:0.964686278279818  recall:0.9622541666666666  f1:0.9592686393141013
[epoch 18]  train_accuracy:0.9610910652370362  val_accuracy:0.9628661154906107  recall:0.9621333333333333  f1:0.9616786224692417
[epoch 19]  train_accuracy:0.9633726631246355  val_accuracy:0.9608536819842338  recall:0.9436291666666667  f1:0.9464777671761784
[epoch 20]  train_accuracy:0.9602707154347534  val_accuracy:0.967185797603025  recall:0.9646916666666666  f1:0.9634959515653521
