[epoch 1]  train_accuracy:0.8737846966307977  val_accuracy:0.8986605140037173  recall:0.8763625000000002  f1:0.8744196303498434
[epoch 2]  train_accuracy:0.9496093724964911  val_accuracy:0.9559571877203102  recall:0.9537416666666665  f1:0.9540864346505902
[epoch 3]  train_accuracy:0.9626452435733924  val_accuracy:0.9623277574825354  recall:0.9632625000000001  f1:0.9607357748696443
[epoch 4]  train_accuracy:0.9676186142497324  val_accuracy:0.9721720182016279  recall:0.9728625000000001  f1:0.96767858776479
[epoch 5]  train_accuracy:0.9717748396152047  val_accuracy:0.9731205537396654  recall:0.9737875  f1:0.9732678240487849
[epoch 6]  train_accuracy:0.974325614781678  val_accuracy:0.979145036210985  recall:0.9780083333333334  f1:0.9775091988073419
[epoch 7]  train_accuracy:0.9764021252187065  val_accuracy:0.9800038454143434  recall:0.9804999999999999  f1:0.9790342788173927
[epoch 8]  train_accuracy:0.9786773141234755  val_accuracy:0.980106389796834  recall:0.9806000000000001  f1:0.9805003529615363
[epoch 9]  train_accuracy:0.9803404451679474  val_accuracy:0.9751329872460425  recall:0.97575  f1:0.9749193113064687
[epoch 10]  train_accuracy:0.9815036755516532  val_accuracy:0.98405434852272  recall:0.9827958333333333  f1:0.9827261353167913
[epoch 11]  train_accuracy:0.9834520063320751  val_accuracy:0.9862462346984554  recall:0.9865875000000001  f1:0.9858149332737043
[epoch 12]  train_accuracy:0.9845896007844595  val_accuracy:0.9858360571684932  recall:0.9861875  f1:0.9846711316595744
[epoch 13]  train_accuracy:0.985804103030808  val_accuracy:0.9871691341408704  recall:0.9874875  f1:0.9867213901133856
[epoch 14]  train_accuracy:0.9864450013138415  val_accuracy:0.9875793116708326  recall:0.9878875  f1:0.9856624946817721
[epoch 15]  train_accuracy:0.9876659125430203  val_accuracy:0.989168749599436  recall:0.9894375  f1:0.9894401760844971
[epoch 16]  train_accuracy:0.9881081323583134  val_accuracy:0.9902711017112094  recall:0.9905125  f1:0.9905385995182359
[epoch 17]  train_accuracy:0.9886593048817223  val_accuracy:0.9903736460936999  recall:0.9906124999999999  f1:0.9898150410431418
[epoch 18]  train_accuracy:0.9888515743666323  val_accuracy:0.9899506505159265  recall:0.9902000000000001  f1:0.9894276823221677
[epoch 19]  train_accuracy:0.9894444052784382  val_accuracy:0.990540280715247  recall:0.990775  f1:0.9885252750806199
[epoch 20]  train_accuracy:0.9899346924649589  val_accuracy:0.9886688457347946  recall:0.98895  f1:0.9881587362615498
