[epoch 1]  train_accuracy:0.9073389262390166  val_accuracy:0.9563289111068384  recall:0.9359083333333335  f1:0.9380435833351033
[epoch 2]  train_accuracy:0.9655421038127039  val_accuracy:0.9695058642568737  recall:0.9702624999999999  f1:0.9701264666965947
[epoch 3]  train_accuracy:0.9787189725118727  val_accuracy:0.9718643850541563  recall:0.9725625000000001  f1:0.9692190148380302
[epoch 4]  train_accuracy:0.9848139151835212  val_accuracy:0.9860155098378517  recall:0.9863624999999999  f1:0.9863521015304911
[epoch 5]  train_accuracy:0.9876915484743416  val_accuracy:0.988643209639172  recall:0.988925  f1:0.9888943556139846
[epoch 6]  train_accuracy:0.989764854419955  val_accuracy:0.9894892007947189  recall:0.9897500000000001  f1:0.9897882104222656
[epoch 7]  train_accuracy:0.9914728483442393  val_accuracy:0.9902070114721528  recall:0.9904499999999998  f1:0.9904494002480018
[epoch 8]  train_accuracy:0.9925848068653024  val_accuracy:0.9906043709543036  recall:0.9908374999999999  f1:0.9892966322739827
[epoch 9]  train_accuracy:0.9933218398907909  val_accuracy:0.9915657245401526  recall:0.9917750000000002  f1:0.9917731352058776
[epoch 10]  train_accuracy:0.9938698079227846  val_accuracy:0.9924245337435109  recall:0.9926125000000001  f1:0.9926150488263822
[epoch 11]  train_accuracy:0.9945331376457243  val_accuracy:0.9917836313529449  recall:0.9919874999999999  f1:0.9920049791068826
[epoch 12]  train_accuracy:0.9948055194160135  val_accuracy:0.9866179580849836  recall:0.9869499999999999  f1:0.9869295692550036
[epoch 13]  train_accuracy:0.9949945844095084  val_accuracy:0.9935525219509069  recall:0.9937125  f1:0.993721916850588
[epoch 14]  train_accuracy:0.995638687183957  val_accuracy:0.9923988976478882  recall:0.9925875000000002  f1:0.991816229429993
[epoch 15]  train_accuracy:0.9958085252289609  val_accuracy:0.9935140678074729  recall:0.993675  f1:0.9936759889558793
[epoch 16]  train_accuracy:0.9960616800507591  val_accuracy:0.9937063385246427  recall:0.9938625  f1:0.9938933333956539
[epoch 17]  train_accuracy:0.9960616800507591  val_accuracy:0.992629622508492  recall:0.9928125  f1:0.992811883914373
[epoch 18]  train_accuracy:0.9965263313059585  val_accuracy:0.9936935204768313  recall:0.9938499999999999  f1:0.9938543097143058
[epoch 19]  train_accuracy:0.996632079522659  val_accuracy:0.9937832468115106  recall:0.9939375  f1:0.9939431111451501
[epoch 20]  train_accuracy:0.9970134140010639  val_accuracy:0.9932961609946805  recall:0.9934625  f1:0.9934592932692716
