[epoch 1]  train_accuracy:0.9015003428805815  val_accuracy:0.960699865410498  recall:0.961675  f1:0.9607233655719984
[epoch 2]  train_accuracy:0.9614788086982715  val_accuracy:0.9707235787989489  recall:0.9714500000000001  f1:0.9705154777612451
[epoch 3]  train_accuracy:0.9741589812280893  val_accuracy:0.9796193039800039  recall:0.9801249999999999  f1:0.9800186887706497
[epoch 4]  train_accuracy:0.9815901968198627  val_accuracy:0.9861180542203423  recall:0.9864625  f1:0.986491356325774
[epoch 5]  train_accuracy:0.9856118335458979  val_accuracy:0.9895020188425303  recall:0.9897625000000001  f1:0.9889695303990338
[epoch 6]  train_accuracy:0.987717184405663  val_accuracy:0.9905018265718131  recall:0.9907375000000002  f1:0.9899378655207668
[epoch 7]  train_accuracy:0.9893450660445681  val_accuracy:0.9919759020701148  recall:0.9921749999999999  f1:0.9913701551435257
[epoch 8]  train_accuracy:0.9904858649883677  val_accuracy:0.9918861757354355  recall:0.9920875  f1:0.9912949528956634
[epoch 9]  train_accuracy:0.9914183719901815  val_accuracy:0.9919374479266808  recall:0.9921374999999999  f1:0.9913417550552905
[epoch 10]  train_accuracy:0.9920272253590633  val_accuracy:0.9930141639428315  recall:0.9931875000000001  f1:0.9923854708654858
[epoch 11]  train_accuracy:0.9929084604982343  val_accuracy:0.9935397039030955  recall:0.9937000000000001  f1:0.9928996980550329
[epoch 12]  train_accuracy:0.9932962039594696  val_accuracy:0.9935012497596616  recall:0.9920083333333333  f1:0.9928112322110744
[epoch 13]  train_accuracy:0.993475655478719  val_accuracy:0.9934243414727937  recall:0.9935875000000001  f1:0.9935916465016114
[epoch 14]  train_accuracy:0.9940428504592036  val_accuracy:0.9927578029866051  recall:0.9929375  f1:0.9929395703978685
[epoch 15]  train_accuracy:0.9944209804461934  val_accuracy:0.9947189643017369  recall:0.9948500000000001  f1:0.99485140861897
[epoch 16]  train_accuracy:0.9945171151886484  val_accuracy:0.9938345190027559  recall:0.9939875  f1:0.9939861620291932
[epoch 17]  train_accuracy:0.9949240855983746  val_accuracy:0.9941421521502275  recall:0.9942874999999999  f1:0.9942898616439007
[epoch 18]  train_accuracy:0.9950875146605482  val_accuracy:0.9939883355764917  recall:0.9941375000000001  f1:0.9941460699320988
[epoch 19]  train_accuracy:0.9954400087162166  val_accuracy:0.9943856950586426  recall:0.994525  f1:0.9945323640636967
[epoch 20]  train_accuracy:0.9954496221904622  val_accuracy:0.9943856950586426  recall:0.9945250000000001  f1:0.9945328995262865
