[epoch 1]  train_accuracy:0.8412206548698656  val_accuracy:0.9240787028135615  recall:0.9011500000000001  f1:0.9021992130827012
[epoch 2]  train_accuracy:0.9301773365549154  val_accuracy:0.9245914247260142  recall:0.9016500000000001  f1:0.9031019076276916
[epoch 3]  train_accuracy:0.938989687946626  val_accuracy:0.9361533038518234  recall:0.9261583333333332  f1:0.9221599513598377
[epoch 4]  train_accuracy:0.9413481936281892  val_accuracy:0.9393449977568417  recall:0.9193458333333332  f1:0.9212353369984552
[epoch 5]  train_accuracy:0.9427421473937871  val_accuracy:0.9327180670383901  recall:0.9145375  f1:0.9177195075466965
[epoch 6]  train_accuracy:0.942988893232755  val_accuracy:0.9329487918989938  recall:0.92965  f1:0.9195509791714409
[epoch 7]  train_accuracy:0.9424761746063283  val_accuracy:0.9565211818240082  recall:0.9360958333333335  f1:0.9371555539828936
[epoch 8]  train_accuracy:0.9414891912504566  val_accuracy:0.9473306415432929  recall:0.943675  f1:0.9323437424378469
[epoch 9]  train_accuracy:0.9391883664143664  val_accuracy:0.9534576683971031  recall:0.9496499999999999  f1:0.9410113197861941
[epoch 10]  train_accuracy:0.9378585024770718  val_accuracy:0.935691854130616  recall:0.9141291666666668  f1:0.9134060760863008
[epoch 11]  train_accuracy:0.9353686126474867  val_accuracy:0.9380631929757098  recall:0.9180958333333333  f1:0.9188474541555582
[epoch 12]  train_accuracy:0.9385859220283149  val_accuracy:0.9549061077997821  recall:0.9460999999999998  f1:0.9447951461526438
[epoch 13]  train_accuracy:0.9319205798847665  val_accuracy:0.95614945843748  recall:0.9539291666666667  f1:0.9429745615023155
[epoch 14]  train_accuracy:0.9399061724913639  val_accuracy:0.9564955457283856  recall:0.9476500000000001  f1:0.9450698174086181
[epoch 15]  train_accuracy:0.9314174747325852  val_accuracy:0.9495737999102737  recall:0.9276666666666668  f1:0.9269242167561782
[epoch 16]  train_accuracy:0.9287705648236568  val_accuracy:0.9180157661988079  recall:0.9018541666666667  f1:0.8992348594780175
[epoch 17]  train_accuracy:0.9264312860905846  val_accuracy:0.9228866243671089  recall:0.8999874999999999  f1:0.8982034102754106
[epoch 18]  train_accuracy:0.9301549051150092  val_accuracy:0.9412420688329167  recall:0.9211958333333335  f1:0.9223966000767294
[epoch 19]  train_accuracy:0.9270465484422967  val_accuracy:0.9338716913414087  recall:0.9123541666666668  f1:0.9120141117761384
[epoch 20]  train_accuracy:0.9229351859566368  val_accuracy:0.9236428891879767  recall:0.9106500000000001  f1:0.9107924242077197
