[epoch 1]  train_accuracy:0.8351524966261809  val_accuracy:0.9238825307708918  recall:0.8886795519774588  f1:0.8878054698141743
[epoch 2]  train_accuracy:0.9237300944669365  val_accuracy:0.9440077736989851  recall:0.9071165492726733  f1:0.9060783841397133
[epoch 3]  train_accuracy:0.9363292847503374  val_accuracy:0.9488879291729648  recall:0.9189051830269629  f1:0.9256329795734142
[epoch 4]  train_accuracy:0.941646423751687  val_accuracy:0.943273591017059  recall:0.9155117294451306  f1:0.9175910271716213
[epoch 5]  train_accuracy:0.9442537112010796  val_accuracy:0.9464046642193911  recall:0.9211009781600765  f1:0.9266314642483399
[epoch 6]  train_accuracy:0.944885290148448  val_accuracy:0.9500323904124379  recall:0.9213394007194224  f1:0.9294860993888716
[epoch 7]  train_accuracy:0.9480053981106613  val_accuracy:0.951565536601166  recall:0.9235614565922257  f1:0.9281233454518014
[epoch 8]  train_accuracy:0.9489230769230769  val_accuracy:0.9577413085726625  recall:0.9354076465681905  f1:0.9416540914560746
[epoch 9]  train_accuracy:0.94872334682861  val_accuracy:0.9470524724681494  recall:0.9175938438161686  f1:0.9234998842927091
[epoch 10]  train_accuracy:0.9490526315789474  val_accuracy:0.9421507233858778  recall:0.9039067206368051  f1:0.9097328246258468
[epoch 11]  train_accuracy:0.9493603238866397  val_accuracy:0.955560354135176  recall:0.9293604787177648  f1:0.9369907291975486
[epoch 12]  train_accuracy:0.949889338731444  val_accuracy:0.9493845821636796  recall:0.9146611441131641  f1:0.9250265646283166
[epoch 13]  train_accuracy:0.9501862348178137  val_accuracy:0.9588209889872598  recall:0.9321006169855984  f1:0.9398801745548996
[epoch 14]  train_accuracy:0.950251012145749  val_accuracy:0.9557762902180954  recall:0.9254485956449915  f1:0.9321545092450927
[epoch 15]  train_accuracy:0.9531336032388664  val_accuracy:0.9543295184625351  recall:0.9298633865789447  f1:0.9358067950177543
[epoch 16]  train_accuracy:0.950029689608637  val_accuracy:0.959900669401857  recall:0.9354170213825286  f1:0.9421041619338761
[epoch 17]  train_accuracy:0.9515249662618084  val_accuracy:0.9592528611530987  recall:0.931930512046444  f1:0.9398568088066924
[epoch 18]  train_accuracy:0.9533279352226721  val_accuracy:0.9603973223925718  recall:0.9288542932556891  f1:0.9358048975910942
[epoch 19]  train_accuracy:0.9516545209176788  val_accuracy:0.9514359749514144  recall:0.923359133970375  f1:0.9312170354207145
[epoch 20]  train_accuracy:0.9526855600539811  val_accuracy:0.921464046642194  recall:0.897357918372511  f1:0.9021672225860756
