[epoch 1]  train_accuracy:0.7422402159244265  val_accuracy:0.904729000215936  recall:0.8337637862330086  f1:0.8338174568605328
[epoch 2]  train_accuracy:0.9216572199730094  val_accuracy:0.9197365579788382  recall:0.8738180825037668  f1:0.8755565254055997
[epoch 3]  train_accuracy:0.9395087719298245  val_accuracy:0.9408119196717771  recall:0.9040514452839459  f1:0.912498737211492
[epoch 4]  train_accuracy:0.9484318488529014  val_accuracy:0.9402720794644785  recall:0.9151109163804919  f1:0.9204511743247957
[epoch 5]  train_accuracy:0.9529878542510122  val_accuracy:0.961088317857914  recall:0.9181378656733487  f1:0.9291122247645512
[epoch 6]  train_accuracy:0.9584075573549258  val_accuracy:0.960699632908659  recall:0.9349272728311675  f1:0.9440033320183304
[epoch 7]  train_accuracy:0.9600107962213226  val_accuracy:0.9399049881235154  recall:0.9060709854802927  f1:0.9138664772920769
[epoch 8]  train_accuracy:0.9622456140350877  val_accuracy:0.9648671993090046  recall:0.9395277053756026  f1:0.9463205724342844
[epoch 9]  train_accuracy:0.963195681511471  val_accuracy:0.9570071258907363  recall:0.934978755570038  f1:0.9404572099492499
[epoch 10]  train_accuracy:0.9645074224021593  val_accuracy:0.9687756424098467  recall:0.9473111154831282  f1:0.9566869157684009
[epoch 11]  train_accuracy:0.9640053981106612  val_accuracy:0.9621464046642194  recall:0.9292760207272679  f1:0.9370225993614864
[epoch 12]  train_accuracy:0.9652793522267207  val_accuracy:0.9676743683869574  recall:0.9410724999875539  f1:0.9506609185319822
[epoch 13]  train_accuracy:0.9653387314439946  val_accuracy:0.9697689483912761  recall:0.9476815126747381  f1:0.9566975993184061
[epoch 14]  train_accuracy:0.9668232118758434  val_accuracy:0.9664651263226085  recall:0.9493091576902789  f1:0.9557934255960769
[epoch 15]  train_accuracy:0.9653549257759784  val_accuracy:0.9663571582811488  recall:0.9426058613136684  f1:0.9515599098230935
[epoch 16]  train_accuracy:0.9664345479082321  val_accuracy:0.9673288706542863  recall:0.9530674714578288  f1:0.9576524528207295
[epoch 17]  train_accuracy:0.9663373819163292  val_accuracy:0.9718851220038869  recall:0.9569727106656101  f1:0.9629682284061866
[epoch 18]  train_accuracy:0.9663373819163292  val_accuracy:0.9662275966313971  recall:0.9435238899892412  f1:0.9514214955293293
[epoch 19]  train_accuracy:0.9664777327935222  val_accuracy:0.9654718203411791  recall:0.9406884836610673  f1:0.9504103252121019
[epoch 20]  train_accuracy:0.9659325236167341  val_accuracy:0.9671561217879507  recall:0.9473598217386204  f1:0.9553653415400307
