[epoch 1]  train_accuracy:0.8496140350877193  val_accuracy:0.867847117253293  recall:0.8007872479716028  f1:0.8046772574004548
[epoch 2]  train_accuracy:0.9462240215924427  val_accuracy:0.8769164327359101  recall:0.8224465524829041  f1:0.8143060622705178
[epoch 3]  train_accuracy:0.9583805668016194  val_accuracy:0.874195638091125  recall:0.8492965143859363  f1:0.838591627567785
[epoch 4]  train_accuracy:0.9639838056680162  val_accuracy:0.9591017058950551  recall:0.9314613532993232  f1:0.939597841878776
[epoch 5]  train_accuracy:0.967778677462888  val_accuracy:0.925825955517167  recall:0.8966302821054707  f1:0.9038252497323407
[epoch 6]  train_accuracy:0.970029689608637  val_accuracy:0.9557115093932196  recall:0.9367075077407065  f1:0.9414535882335676
[epoch 7]  train_accuracy:0.9705425101214575  val_accuracy:0.967458432304038  recall:0.9481298415526743  f1:0.9533365703588813
[epoch 8]  train_accuracy:0.9725775978407557  val_accuracy:0.9744763549989203  recall:0.9551467063116872  f1:0.9624232722694444
[epoch 9]  train_accuracy:0.9736302294197031  val_accuracy:0.9764197797451954  recall:0.9563831989500134  f1:0.9641297821893585
[epoch 10]  train_accuracy:0.9745101214574898  val_accuracy:0.9696825739581084  recall:0.9514644894890042  f1:0.9581574698178789
[epoch 11]  train_accuracy:0.9750823211875843  val_accuracy:0.962275966313971  recall:0.9452244342904582  f1:0.9518702299686252
[epoch 12]  train_accuracy:0.9760215924426451  val_accuracy:0.9787950766573095  recall:0.9671615719304911  f1:0.9697200525248696
[epoch 13]  train_accuracy:0.9764264507422402  val_accuracy:0.9677175556035413  recall:0.9490953680952019  f1:0.9573095329388859
[epoch 14]  train_accuracy:0.977365721997301  val_accuracy:0.9795508529475275  recall:0.9669847765514353  f1:0.9723885037166066
[epoch 15]  train_accuracy:0.9768798920377868  val_accuracy:0.9794860721226517  recall:0.968480525376763  f1:0.9718098427611893
[epoch 16]  train_accuracy:0.9780242914979758  val_accuracy:0.9776506154178363  recall:0.9620420015224108  f1:0.9684260463172443
[epoch 17]  train_accuracy:0.9779217273954116  val_accuracy:0.9806953141870006  recall:0.9690415449882356  f1:0.9736910688968754
[epoch 18]  train_accuracy:0.9785047233468286  val_accuracy:0.9793565104729001  recall:0.9633869080527749  f1:0.9696925104070571
[epoch 19]  train_accuracy:0.9790445344129555  val_accuracy:0.9797236018138631  recall:0.9676470303709581  f1:0.9725536323462604
[epoch 20]  train_accuracy:0.9793684210526316  val_accuracy:0.9802418484128698  recall:0.9681424663596504  f1:0.9728818999844302
