[epoch 1]  train_accuracy:0.8962591093117409  val_accuracy:0.9435759015331462  recall:0.8842693190255254  f1:0.885829777849259
[epoch 2]  train_accuracy:0.9594224021592442  val_accuracy:0.9701144461239473  recall:0.9400629378577968  f1:0.9490145113412071
[epoch 3]  train_accuracy:0.971859649122807  val_accuracy:0.9764629669617794  recall:0.9540147919173011  f1:0.9631655519678038
[epoch 4]  train_accuracy:0.9771983805668016  val_accuracy:0.9743467933491686  recall:0.9628742643415925  f1:0.9671804258908665
[epoch 5]  train_accuracy:0.9809554655870445  val_accuracy:0.9825955517166919  recall:0.9701994935915523  f1:0.9745264025604049
[epoch 6]  train_accuracy:0.9823103913630229  val_accuracy:0.9814510904772188  recall:0.9674989103048769  f1:0.973227045797131
[epoch 7]  train_accuracy:0.9839190283400809  val_accuracy:0.9836752321312892  recall:0.971202623389079  f1:0.9754759851071327
[epoch 8]  train_accuracy:0.9849608636977059  val_accuracy:0.9850356294536817  recall:0.974553696411796  f1:0.9783851907041389
[epoch 9]  train_accuracy:0.9855546558704453  val_accuracy:0.9860721226516951  recall:0.9748706213933621  f1:0.9798791241399668
[epoch 10]  train_accuracy:0.9864183535762483  val_accuracy:0.9855106888361045  recall:0.9750030604721247  f1:0.97912260967108
[epoch 11]  train_accuracy:0.9866990553306343  val_accuracy:0.98568343770244  recall:0.9763329615239523  f1:0.9752062944980971
[epoch 12]  train_accuracy:0.9869041835357625  val_accuracy:0.9869358669833729  recall:0.9765547058495365  f1:0.9804104834368238
[epoch 13]  train_accuracy:0.9873900134952767  val_accuracy:0.9861369034765709  recall:0.9745951341850971  f1:0.9754992824001787
[epoch 14]  train_accuracy:0.9877031039136303  val_accuracy:0.9849492550205139  recall:0.9741211933526155  f1:0.9790293208192108
[epoch 15]  train_accuracy:0.9880323886639676  val_accuracy:0.9867631181170373  recall:0.9768073346196141  f1:0.9803659309524747
[epoch 16]  train_accuracy:0.9884318488529015  val_accuracy:0.986914273375081  recall:0.9760895670155678  f1:0.9788608175126282
[epoch 17]  train_accuracy:0.9887773279352227  val_accuracy:0.9792053552148564  recall:0.9674077840853728  f1:0.9714338665565534
[epoch 18]  train_accuracy:0.9894520917678813  val_accuracy:0.9863744331677823  recall:0.9764485201078448  f1:0.9786870642729552
[epoch 19]  train_accuracy:0.989527665317139  val_accuracy:0.9830058302742388  recall:0.9742998313553541  f1:0.9775371757057061
[epoch 20]  train_accuracy:0.9898299595141701  val_accuracy:0.9866767436838696  recall:0.9762295937419132  f1:0.9806946675216549
