[epoch 1]  train_accuracy:0.8878812415654521  val_accuracy:0.9393219606996329  recall:0.8851243227203808  f1:0.8867864554537894
[epoch 2]  train_accuracy:0.9533495276653171  val_accuracy:0.9615633772403369  recall:0.9389920113433519  f1:0.9449588885071257
[epoch 3]  train_accuracy:0.9645452091767881  val_accuracy:0.9679982725113366  recall:0.9460742856179145  f1:0.9532735125736108
[epoch 4]  train_accuracy:0.9704291497975709  val_accuracy:0.9651479162167999  recall:0.9468456014751531  f1:0.953837403620467
[epoch 5]  train_accuracy:0.9736194331983805  val_accuracy:0.9781256748002591  recall:0.9636903726343886  f1:0.9702464426996324
[epoch 6]  train_accuracy:0.9764102564102564  val_accuracy:0.9824659900669401  recall:0.9685686617464897  f1:0.9738083547204381
[epoch 7]  train_accuracy:0.9804858299595142  val_accuracy:0.9821636795508529  recall:0.9635057102914435  f1:0.9705787690313414
[epoch 8]  train_accuracy:0.9819433198380567  val_accuracy:0.9831569855322825  recall:0.969845687727216  f1:0.9750770054245371
[epoch 9]  train_accuracy:0.9830769230769231  val_accuracy:0.9852083783200173  recall:0.9706329411967554  f1:0.9771779737465004
[epoch 10]  train_accuracy:0.9844264507422402  val_accuracy:0.9860289354351112  recall:0.9744604568161613  f1:0.9793868382392896
[epoch 11]  train_accuracy:0.9846369770580297  val_accuracy:0.9850356294536817  recall:0.9738212806141876  f1:0.9767252906750175
[epoch 12]  train_accuracy:0.985004048582996  val_accuracy:0.9863744331677823  recall:0.9741418965679322  f1:0.9786067822702618
[epoch 13]  train_accuracy:0.9854089068825911  val_accuracy:0.9857914057438998  recall:0.976044122833972  f1:0.9783488065101921
[epoch 14]  train_accuracy:0.9860404858299595  val_accuracy:0.9864392139926582  recall:0.9762680103227692  f1:0.979882450449326
[epoch 15]  train_accuracy:0.9862995951417004  val_accuracy:0.9859209673936514  recall:0.9759727196285239  f1:0.9771778560054502
[epoch 16]  train_accuracy:0.9865479082321188  val_accuracy:0.9868926797667891  recall:0.9754164802111711  f1:0.9802312230610332
[epoch 17]  train_accuracy:0.986995951417004  val_accuracy:0.9853379399697689  recall:0.9764368935548867  f1:0.979401378212697
[epoch 18]  train_accuracy:0.9875087719298246  val_accuracy:0.9866119628589938  recall:0.9758661802779257  f1:0.9801992378976941
[epoch 19]  train_accuracy:0.9875735492577598  val_accuracy:0.9854027207946447  recall:0.9758962362400283  f1:0.977182581675853
[epoch 20]  train_accuracy:0.9878434547908232  val_accuracy:0.9863528395594904  recall:0.9755976941909054  f1:0.9801102859420477
