[epoch 1]  train_accuracy:0.812863697705803  val_accuracy:0.9213776722090261  recall:0.8778445924305646  f1:0.8762279063406425
[epoch 2]  train_accuracy:0.9368906882591093  val_accuracy:0.9308140790326064  recall:0.9022905280859221  f1:0.9083569891012429
[epoch 3]  train_accuracy:0.9461268556005398  val_accuracy:0.9463182897862232  recall:0.9145228098376068  f1:0.922885095216807
[epoch 4]  train_accuracy:0.9520485829959514  val_accuracy:0.9545022673288707  recall:0.9330377805524063  f1:0.938559134141597
[epoch 5]  train_accuracy:0.9500998650472334  val_accuracy:0.960721226516951  recall:0.937220242667451  f1:0.9441135700602012
[epoch 6]  train_accuracy:0.9569284750337382  val_accuracy:0.9659252861153099  recall:0.9468337030040035  f1:0.9499926744694732
[epoch 7]  train_accuracy:0.9521673414304993  val_accuracy:0.9498596415461024  recall:0.9304499119897992  f1:0.9299455153212762
[epoch 8]  train_accuracy:0.9540890688259109  val_accuracy:0.9625782768300583  recall:0.9313292018859118  f1:0.9386308439172237
[epoch 9]  train_accuracy:0.9539541160593792  val_accuracy:0.9620384366227597  recall:0.934908593690161  f1:0.9344946659169321
[epoch 10]  train_accuracy:0.9552118758434548  val_accuracy:0.9623623407471389  recall:0.9290035062645948  f1:0.9362392616532431
[epoch 11]  train_accuracy:0.9551201079622132  val_accuracy:0.9534225869142734  recall:0.925086556288547  f1:0.9282523512406695
[epoch 12]  train_accuracy:0.9544183535762483  val_accuracy:0.965860505290434  recall:0.9369061417900532  f1:0.944727404953152
[epoch 13]  train_accuracy:0.9558650472334683  val_accuracy:0.9600086374433168  recall:0.9319353057965108  f1:0.9395795825390734
[epoch 14]  train_accuracy:0.9514547908232118  val_accuracy:0.9622111854890952  recall:0.9329909988272649  f1:0.9359654713277491
[epoch 15]  train_accuracy:0.9530688259109312  val_accuracy:0.9669185920967394  recall:0.9368490937237907  f1:0.9456725158408948
[epoch 16]  train_accuracy:0.95055330634278  val_accuracy:0.9572446555819477  recall:0.925032124525245  f1:0.9327262941350035
[epoch 17]  train_accuracy:0.9551794871794872  val_accuracy:0.9661196285899374  recall:0.9393939232458921  f1:0.9450852308130832
[epoch 18]  train_accuracy:0.9538677462887989  val_accuracy:0.9609371625998704  recall:0.9288431788248661  f1:0.938410820744962
[epoch 19]  train_accuracy:0.9546342780026991  val_accuracy:0.8960915568991579  recall:0.8580123435448347  f1:0.865394083358647
[epoch 20]  train_accuracy:0.9540350877192982  val_accuracy:0.9630317426041891  recall:0.9298371836504877  f1:0.9400020547380123
